dataset_seed,dataset,arm,ansatz_level,dilution,seed,lr,val_accuracy,test_accuracy,best_epoch,epochs_run,theta_displacement,wall_seconds,run_id
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L1,linear,1,0.1,0.7416666666666667,0.7516666666666667,13,43,0.0,8.355026167002507,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L2,linear,1,0.1,0.8233333333333334,0.8041666666666667,25,55,1.4132709503173828,494.83720079198247,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L2,linear,1,0.1,0.6866666666666666,0.7075,16,46,0.0,8.392102667014115,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L1,h2,3,0.1,0.5216666666666666,0.4658333333333333,7,37,0.5730361342430115,334.5286958749639,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L1,h2,3,0.1,0.5216666666666666,0.4658333333333333,7,37,0.0,8.022973207989708,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L2,linear,3,0.1,0.81,0.7933333333333333,24,54,0.9726594686508179,488.32410304195946,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L2,linear,3,0.1,0.7683333333333333,0.7658333333333334,27,57,0.0,8.253105208976194,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L2,h2,2,0.1,0.8316666666666667,0.8258333333333333,18,48,1.082451581954956,436.70634666702244,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L2,h2,2,0.1,0.6733333333333333,0.6816666666666666,7,37,0.0,7.62096820800798,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L1,h2,1,0.1,0.8633333333333333,0.8441666666666666,52,82,2.0007877349853516,734.6574160830351,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L1,h2,1,0.1,0.7983333333333333,0.7933333333333333,74,104,0.0,8.65297862503212,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L2,linear,2,0.1,0.8233333333333334,0.7808333333333334,62,92,1.0294744968414307,820.615014208015,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L2,linear,2,0.1,0.665,0.6733333333333333,7,37,0.0,8.378191916970536,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L2,h2,1,0.1,0.5216666666666666,0.4658333333333333,30,60,0.6094933152198792,543.1056134999963,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L2,h2,1,0.1,0.7383333333333333,0.7558333333333334,39,69,0.0,8.594742374960333,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L1,h4,3,0.1,0.5216666666666666,0.4658333333333333,7,37,0.48099809885025024,337.03194562497083,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L1,h4,3,0.1,0.5216666666666666,0.4658333333333333,7,37,0.0,7.999808332999237,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L1,h2,2,0.1,0.8416666666666667,0.8316666666666667,66,96,1.6329529285430908,861.0038602080313,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L1,h2,2,0.1,0.75,0.7416666666666667,25,55,0.0,8.28071583295241,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L1,h4,2,0.1,0.845,0.8408333333333333,36,66,1.6291977167129517,602.841922749998,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L1,h4,2,0.1,0.7583333333333333,0.725,39,69,0.0,7.86970104102511,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L2,h4,2,0.1,0.8416666666666667,0.8325,18,48,1.195191502571106,436.1766356250155,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L2,h4,2,0.1,0.7116666666666667,0.6941666666666667,82,112,0.0,8.255127457960043,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L2,h2,3,0.1,0.8533333333333334,0.8316666666666667,64,94,1.2798409461975098,848.2284618330305,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L2,h2,3,0.1,0.81,0.7816666666666666,55,85,0.0,8.09537612501299,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L2,h4,1,0.1,0.8316666666666667,0.8116666666666666,47,77,1.9461722373962402,693.6807074589888,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L2,h4,1,0.1,0.6883333333333334,0.7208333333333333,38,68,0.0,7.990279500023462,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L1,h42,2,0.1,0.835,0.8025,20,50,1.313888430595398,442.17591708299005,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L1,h42,2,0.1,0.775,0.7483333333333333,85,115,0.0,7.287700749991927,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L2,h4,3,0.1,0.8533333333333334,0.835,37,67,2.171354293823242,575.1358347920468,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L2,h4,3,0.1,0.8116666666666666,0.7858333333333334,59,89,0.0,6.8383760409778915,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L2,h42,2,0.1,0.8616666666666667,0.8383333333333334,13,43,1.0428216457366943,343.2695561670116,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L2,h42,2,0.1,0.6733333333333333,0.6825,7,37,0.0,6.220880291017238,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L1,h42,1,0.1,0.8783333333333333,0.8658333333333333,48,78,1.5123337507247925,648.8525671249954,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L1,h42,1,0.1,0.835,0.8225,92,122,0.0,6.755484332970809,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L1,h4,1,0.1,0.84,0.8175,91,121,1.4198887348175049,1026.9493162499857,d21_20260822T070952Z
